price,min_to_metro,region_of_moscow,total_area,living_area,floor,number_of_floors,construction_year,is_new,is_apartments,ceiling_height,number_of_rooms,link,floor_needs_review,price_per_m2
30095214.0,5.0,ЮЗАО,67.3,,19,25,2024,True,False,3.17,2,https://www.cian.ru/sale/flat/296330604/,False,447180.0
34504350.0,16.0,СЗАО,55.5,,18,24,2023,True,False,3.15,2,https://www.cian.ru/sale/flat/291506160/,False,621700.0
18432030.0,11.0,ЗАО,46.3,21.8,32,33,2023,True,False,2.62,2,https://www.cian.ru/sale/flat/293187689/,False,398100.0
41215500.0,13.0,ЮЗАО,64.5,,23,32,2021,True,False,3.1,2,https://www.cian.ru/sale/flat/264100710/,False,639000.0
20018048.0,30.0,ЗАО,48.6,,27,33,2023,True,False,2.62,2,https://www.cian.ru/sale/flat/300679492/,False,411893.99176954734
29705530.0,25.0,ЮАО,64.4,32.9,6,16,2022,True,False,3.15,2,https://www.cian.ru/sale/flat/293203840/,False,461265.9937888198
28500000.0,5.0,СЗАО,59.5,28.8,14,44,2023,True,False,,2,https://www.cian.ru/sale/flat/295291741/,False,478991.59663865546
68144365.0,12.0,ЦАО,68.7,32.4,3,17,2022,True,False,3.6,2,https://www.cian.ru/sale/flat/285243989/,False,991912.154294032
34561246.0,22.0,ЮАО,70.59,32.4,21,21,2023,True,False,3.0,2,https://www.cian.ru/sale/flat/289000790/,False,489605.41153137834
37252800.0,19.0,СВАО,93.6,,5,22,2023,True,False,3.0,2,https://www.cian.ru/sale/flat/299702715/,False,398000.0
37948000.0,11.0,СЗАО,71.6,,13,21,2023,True,False,3.1,2,https://www.cian.ru/sale/flat/299167972/,False,530000.0
16388393.0,5.0,ЗАО,55.1,,12,25,2021,True,False,2.63,2,https://www.cian.ru/sale/flat/300605467/,False,297430.0
14518035.0,16.0,САО,52.9,25.5,13,14,2023,True,False,2.84,2,https://www.cian.ru/sale/flat/297032963/,False,274443.0056710775
14550000.0,5.0,СЗАО,51.1,,4,20,2024,True,False,,2,https://www.cian.ru/sale/flat/299687178/,False,284735.8121330724
36841600.0,19.0,СВАО,92.8,,4,22,2023,True,False,3.0,2,https://www.cian.ru/sale/flat/299702711/,False,397000.0
37160243.0,15.0,ЮАО,73.6,,20,24,2023,True,False,3.15,2,https://www.cian.ru/sale/flat/300761665/,False,504894.6059782609
41305307.0,4.0,ЦАО,86.5,50.8,3,10,2024,True,True,3.0,2,https://www.cian.ru/sale/flat/295316278/,False,477518.0
26600000.0,11.0,ВАО,70.26,,6,20,2024,True,False,,2,https://www.cian.ru/sale/flat/287925648/,False,378593.7944776544
38150000.0,15.0,ЮАО,66.3,34.2,12,12,2023,True,False,,2,https://www.cian.ru/sale/flat/284150755/,False,575414.7812971342
28000000.0,16.0,ЮАО,55.8,,2,21,2024,True,False,2.87,2,https://www.cian.ru/sale/flat/299659728/,False,501792.1146953405
13050000.0,8.0,САО,34.1,,17,18,2022,True,False,,2,https://www.cian.ru/sale/flat/297049404/,False,382697.94721407624
26993838.0,9.0,ЗАО,45.8,20.1,4,15,2022,True,False,3.12,2,https://www.cian.ru/sale/flat/298334391/,False,589385.1091703057
14180992.0,10.0,ЗАО,47.6,,3,25,2022,True,False,2.7,2,https://www.cian.ru/sale/flat/300614605/,False,297920.0
38951100.0,13.0,ЮЗАО,76.6,45.8,2,32,2021,True,False,3.1,2,https://www.cian.ru/sale/flat/264099911/,False,508500.00000000006
36740000.0,27.0,ЗАО,68.8,24.6,8,14,2023,True,False,3.0,2,https://www.cian.ru/sale/flat/299262124/,False,534011.6279069767
31171960.0,19.0,ЮВАО,69.7,29.3,21,22,2023,True,False,3.0,2,https://www.cian.ru/sale/flat/300165822/,False,447230.41606886656
9500000.0,16.0,СЗАО,45.18,28.5,27,28,2023,True,True,,2,https://www.cian.ru/sale/flat/296787455/,False,210270.03098716246
20301398.0,27.0,ЮАО,71.6,29.1,2,33,2023,True,False,2.62,2,https://www.cian.ru/sale/flat/300725137/,False,283539.07821229054
36318342.0,5.0,ЗАО,61.6,,12,57,2024,True,False,2.9,2,https://www.cian.ru/sale/flat/282209287/,False,589583.474025974
20588673.0,16.0,СЗАО,61.7,,2,24,2024,True,False,3.0,2,https://www.cian.ru/sale/flat/300361489/,False,333690.0
29890248.0,6.0,ЮЗАО,62.6,,2,12,2024,True,False,3.17,2,https://www.cian.ru/sale/flat/294550025/,False,477480.0
469028980.0,8.0,ЦАО,126.2,63.6,2,5,2023,True,False,3.0,2,https://www.cian.ru/sale/flat/299858831/,False,3716552.9318541996
35158818.0,7.0,ЮАО,69.8,32.3,4,40,2023,True,False,3.15,2,https://www.cian.ru/sale/flat/293203914/,False,503707.994269341
35800000.0,5.0,ЗАО,79.5,38.8,3,20,2024,True,False,,2,https://www.cian.ru/sale/flat/293099912/,False,450314.46540880506
34371540.0,,СЗАО,56.7,29.4,14,29,2023,True,False,3.15,2,https://www.cian.ru/sale/flat/296524893/,False,606200.0
29600000.0,15.0,СЗАО,65.1,41.1,23,41,2024,True,False,3.2,2,https://www.cian.ru/sale/flat/298883973/,False,454685.0998463902
15621827.0,10.0,ЗАО,53.6,,2,25,2021,True,False,2.63,2,https://www.cian.ru/sale/flat/300605455/,False,291451.9962686567
19821352.0,6.0,САО,40.6,,3,33,2024,True,True,2.7,2,https://www.cian.ru/sale/flat/299401333/,False,488210.64039408864
38465513.0,13.0,СЗАО,85.8,36.6,22,25,2022,True,False,3.02,2,https://www.cian.ru/sale/flat/290752583/,False,448316.0023310023
23400000.0,17.0,ЮАО,66.02,,3,7,2024,True,False,,2,https://www.cian.ru/sale/flat/300304732/,False,354438.0490760376
32964420.0,19.0,СВАО,78.9,,2,22,2023,True,False,3.0,2,https://www.cian.ru/sale/flat/299702726/,False,417799.99999999994
32474550.0,19.0,СВАО,74.5,,19,22,2023,True,False,3.0,2,https://www.cian.ru/sale/flat/299702854/,False,435900.0
32587200.0,12.0,СВАО,74.4,55.8,4,37,2024,True,False,3.0,2,https://www.cian.ru/sale/flat/298828171/,False,437999.99999999994
101639382.0,11.0,ЦАО,105.2,,1,7,2022,True,True,3.4,2,https://www.cian.ru/sale/flat/288177339/,False,966153.8212927757
31350680.0,19.0,ЮВАО,70.1,32.7,16,21,2023,True,False,3.0,2,https://www.cian.ru/sale/flat/300165810/,False,447227.9600570614
13000000.0,14.0,СВАО,51.0,,11,18,2023,True,True,,2,https://www.cian.ru/sale/flat/289253686/,False,254901.96078431373
24520932.0,24.0,ЗАО,63.7,25.8,3,21,2023,True,False,2.74,2,https://www.cian.ru/sale/flat/284074576/,False,384943.9874411303
146630000.0,8.0,ЦАО,133.3,,9,13,2013,True,True,3.15,2,https://www.cian.ru/sale/flat/297286590/,False,1100000.0
20299959.0,5.0,СВАО,67.4,,2,33,2023,True,False,2.63,2,https://www.cian.ru/sale/flat/299449844/,False,301186.33531157265
37047354.0,4.0,ЮАО,74.0,,4,6,2023,True,False,3.15,2,https://www.cian.ru/sale/flat/300800420/,False,500639.91891891893
42606300.0,2.0,САО,77.8,,21,21,2023,True,True,3.15,2,https://www.cian.ru/sale/flat/298000720/,False,547638.8174807198
21225600.0,14.0,ЗАО,53.6,26.3,21,21,2023,True,False,2.62,2,https://www.cian.ru/sale/flat/270797354/,False,396000.0
50820000.0,28.0,ЗАО,72.9,27.9,12,13,2023,True,False,3.58,2,https://www.cian.ru/sale/flat/296277900/,False,697119.3415637859
12700000.0,20.0,СЗАО,41.5,,2,25,2024,True,True,3.0,2,https://www.cian.ru/sale/flat/298274092/,False,306024.0963855422
46855074.0,13.0,ЮЗАО,74.2,35.1,23,32,2021,True,False,3.1,2,https://www.cian.ru/sale/flat/294207287/,False,631470.0
15800000.0,19.0,СВАО,60.0,,19,25,2024,True,False,3.0,2,https://www.cian.ru/sale/flat/300601398/,False,263333.3333333333
29200000.0,14.0,СЗАО,65.3,28.6,36,41,2018,True,False,3.2,2,https://www.cian.ru/sale/flat/300702766/,False,447166.92189892806
34510079.0,6.0,ЗАО,63.0,31.3,11,28,2022,True,False,3.12,2,https://www.cian.ru/sale/flat/298334272/,False,547779.0317460317
31043096.0,4.0,ЮАО,59.1,,5,6,2023,True,False,3.15,2,https://www.cian.ru/sale/flat/300800419/,False,525263.8917089679
31073840.0,19.0,ЮВАО,63.2,29.7,22,22,2023,True,False,3.0,2,https://www.cian.ru/sale/flat/300165805/,False,491674.68354430376
15500000.0,10.0,СЗАО,53.0,,4,57,2025,True,False,,2,https://www.cian.ru/sale/flat/300232324/,False,292452.8301886792
31267474.0,5.0,ЗАО,58.48,,2,57,2024,True,False,2.9,2,https://www.cian.ru/sale/flat/290790439/,False,534669.5280437757
143796000.0,1.0,ЦАО,104.2,,5,9,2023,True,True,,2,https://www.cian.ru/sale/flat/286258299/,False,1380000.0
9200000.0,14.0,САО,32.83,20.7,8,11,2024,True,False,,2,https://www.cian.ru/sale/flat/290060320/,False,280231.495583308
15981280.0,10.0,ЗАО,53.2,,3,25,2021,True,False,2.63,2,https://www.cian.ru/sale/flat/299449819/,False,300400.0
28436974.0,17.0,СЗАО,60.0,29.5,16,16,2024,True,False,3.02,2,https://www.cian.ru/sale/flat/292809866/,False,473949.56666666665
18343212.0,9.0,ЗАО,44.79,30.1,18,30,2023,True,False,3.3,2,https://www.cian.ru/sale/flat/299583584/,False,409538.11118553247
19570315.0,10.0,ЮВАО,57.9,,6,33,2023,True,False,2.72,2,https://www.cian.ru/sale/flat/300362053/,False,338001.9861830743
85974000.0,1.0,ЦАО,62.3,,8,9,2023,True,True,,2,https://www.cian.ru/sale/flat/289484533/,False,1380000.0
14500000.0,17.0,ЮВАО,48.74,,11,19,2024,True,True,3.0,2,https://www.cian.ru/sale/flat/298297506/,False,297496.92244562984
21809958.0,30.0,ЗАО,52.6,20.8,11,34,2023,True,False,2.62,2,https://www.cian.ru/sale/flat/300679303/,False,414637.9847908745
30865030.0,19.0,СВАО,70.1,,12,22,2023,True,False,3.0,2,https://www.cian.ru/sale/flat/299702693/,False,440300.00000000006
20069280.0,12.0,ЗАО,54.3,20.2,20,21,2023,True,False,2.7,2,https://www.cian.ru/sale/flat/288566013/,False,369600.0
26978000.0,12.0,СВАО,57.4,43.1,11,37,2024,True,False,3.0,2,https://www.cian.ru/sale/flat/298603590/,False,470000.0
34001079.0,23.0,ЮАО,73.3,36.2,3,11,2024,True,False,3.1,2,https://www.cian.ru/sale/flat/299472253/,False,463861.9236016371
27000000.0,5.0,СЗАО,49.5,26.8,5,25,2023,True,False,,2,https://www.cian.ru/sale/flat/295279670/,False,545454.5454545454
42700000.0,27.0,ЗАО,68.2,25.9,11,13,2023,True,False,3.13,2,https://www.cian.ru/sale/flat/296278092/,False,626099.706744868
26990000.0,5.0,ЮВАО,64.0,28.0,16,21,2023,True,False,,2,https://www.cian.ru/sale/flat/298113963/,False,421718.75
29178803.0,6.0,ЮЗАО,51.9,,9,12,2024,True,False,3.17,2,https://www.cian.ru/sale/flat/300451840/,False,562212.0038535646
29501209.0,15.0,СЗАО,59.94,,3,54,2027,True,False,3.0,2,https://www.cian.ru/sale/flat/300397138/,False,492178.995662329
24520188.0,9.0,ЗАО,66.0,20.7,7,21,2023,True,False,2.74,2,https://www.cian.ru/sale/flat/297464730/,False,371518.0
38335900.0,12.0,СЗАО,73.3,32.6,13,21,2023,True,False,3.1,2,https://www.cian.ru/sale/flat/299168060/,False,523000.0
