model,feature,r2_drop_mean,r2_drop_std,repeats
income,median_income,0.9786177700466772,0.02466078948260457,5
income_location_age,latitude,1.3079235194278838,0.03597720833755379,5
income_location_age,longitude,1.1925536501844758,0.03374746135522719,5
income_location_age,median_income,0.8083658651196053,0.02001000855693965,5
income_location_age,housing_median_age,0.022715493386842377,0.002750245743686568,5
all_features,latitude,1.268579719020993,0.03299208402164974,5
all_features,longitude,1.1002575805410477,0.01333020011913629,5
all_features,median_income,0.859225758081369,0.011949603166230102,5
all_features,total_bedrooms,0.4549617539794249,0.009566347448271364,5
all_features,population,0.4263075813344071,0.0033692971151068167,5
all_features,households,0.05323029709854201,0.002756203101862147,5
all_features,housing_median_age,0.027094652219748473,0.004273877586379749,5
all_features,total_rooms,0.023903522092458364,0.001642152863724768,5
