model,split,count,SSE,MSE,RMSE,R2
income,train,13600,95095221046020.25,6992295665.148548,83619.94777054426,0.47853729713015936
income,test,3400,24120042395945.727,7094130116.454625,84226.65917899525,0.47918118686170186
income_location_age,train,13600,73507005003179.39,5404926838.469073,73518.20753030553,0.5969181091626581
income_location_age,test,3400,18401557328904.027,5412222743.795302,73567.81051380625,0.6026591873011353
all_features,train,13600,64790200547000.7,4763985334.338287,69021.62946742338,0.6447174450504949
all_features,test,3400,17447786382686.383,5131701877.260701,71635.8979650615,0.623253755256719
