price,min_to_metro,region_of_moscow,total_area,living_area,floor,number_of_floors,construction_year,is_new,is_apartments,ceiling_height,number_of_rooms,link
64890000.0,,WAR,72.9,26.6,14.0,14.0,2023.0,1.0,0.0,3.0,2.0,https://www.cian.ru/sale/flat/299262035/
107526900.0,6.0,CAR,102.7,,4.0,6.0,2017.0,1.0,1.0,3.0,2.0,https://www.cian.ru/sale/flat/297596634/
41280000.0,28.0,WAR,67.0,24.8,13.0,14.0,2023.0,1.0,0.0,3.0,2.0,https://www.cian.ru/sale/flat/296277962/
31437720.0,5.0,SWAR,62.6,,32.0,34.0,2023.0,1.0,0.0,3.0,2.0,https://www.cian.ru/sale/flat/300673469/
25602975.0,9.0,NEAR,72.0,,17.0,27.0,2022.0,1.0,0.0,,2.0,https://www.cian.ru/sale/flat/294033541/
15700000.0,5.0,WAR,39.8,,3.0,15.0,2024.0,1.0,1.0,2.7,2.0,https://www.cian.ru/sale/flat/298664704/
14604980.0,6.0,NAR,52.4,25.4,13.0,15.0,2023.0,1.0,0.0,2.84,2.0,https://www.cian.ru/sale/flat/300121769/
34025200.0,19.0,NEAR,70.3,52.7,10.0,32.0,2023.0,1.0,0.0,3.0,2.0,https://www.cian.ru/sale/flat/298828189/
33500000.0,16.0,NWAR,57.6,17.2,9.0,44.0,2023.0,1.0,0.0,,2.0,https://www.cian.ru/sale/flat/299643248/
25000000.0,15.0,SAR,51.5,,7.0,26.0,2024.0,1.0,0.0,2.87,2.0,https://www.cian.ru/sale/flat/298277252/
34000000.0,18.0,NWAR,65.0,32.0,5.0,13.0,2023.0,1.0,0.0,,2.0,https://www.cian.ru/sale/flat/298696354/
20463155.0,8.0,NAR,39.7,25.6,16.0,35.0,2023.0,1.0,0.0,3.1,2.0,https://www.cian.ru/sale/flat/298335378/
28174549.0,24.0,WAR,75.3,43.8,18.0,21.0,2023.0,1.0,0.0,2.74,2.0,https://www.cian.ru/sale/flat/292337487/
15300000.0,10.0,EAR,40.0,,13.0,33.0,2023.0,1.0,0.0,,2.0,https://www.cian.ru/sale/flat/298751444/
26205026.0,4.0,WAR,62.7,25.5,5.0,12.0,2022.0,1.0,1.0,3.0,2.0,https://www.cian.ru/sale/flat/298780527/
29000000.0,11.0,SEAR,73.2,,11.0,20.0,2023.0,1.0,0.0,3.0,2.0,https://www.cian.ru/sale/flat/286679691/
37000000.0,18.0,WAR,58.6,42.5,38.0,41.0,2024.0,1.0,0.0,3.1,2.0,https://www.cian.ru/sale/flat/294256822/
46930475.0,12.0,NWAR,66.98,33.2,13.0,32.0,2023.0,1.0,0.0,3.0,2.0,https://www.cian.ru/sale/flat/300011576/
15272858.0,16.0,NAR,59.6,29.7,3.0,14.0,2023.0,1.0,0.0,2.84,2.0,https://www.cian.ru/sale/flat/297033498/
19654093.0,5.0,SAR,40.66,25.5,26.0,26.0,2023.0,1.0,0.0,2.87,2.0,https://www.cian.ru/sale/flat/284858726/
21875716.0,10.0,SEAR,72.1,,29.0,33.0,2023.0,1.0,0.0,2.72,2.0,https://www.cian.ru/sale/flat/300362067/
26760111.0,4.0,NWAR,64.08,33.1,47.0,52.0,2024.0,1.0,0.0,2.85,2.0,https://www.cian.ru/sale/flat/285042238/
29359584.0,,NWAR,64.8,15.2,42.0,47.0,2023.0,1.0,0.0,3.05,2.0,https://www.cian.ru/sale/flat/296745601/
17853150.0,10.0,SWAR,69.4,,3.0,14.0,2023.0,1.0,1.0,2.8,2.0,https://www.cian.ru/sale/flat/297413619/
28900000.0,9.0,SAR,61.0,25.0,18.0,22.0,2023.0,1.0,0.0,,2.0,https://www.cian.ru/sale/flat/300707095/
32022800.0,12.0,NEAR,71.8,53.9,2.0,37.0,2024.0,1.0,0.0,3.0,2.0,https://www.cian.ru/sale/flat/298603477/
30324294.0,17.0,NWAR,56.7,32.7,9.0,43.0,2023.0,1.0,0.0,3.15,2.0,https://www.cian.ru/sale/flat/292613306/
33854660.0,16.0,NWAR,55.3,28.8,15.0,24.0,2023.0,1.0,0.0,3.15,2.0,https://www.cian.ru/sale/flat/289786070/
37650214.0,13.0,NWAR,79.36,36.8,14.0,15.0,2024.0,1.0,0.0,3.02,2.0,https://www.cian.ru/sale/flat/299960727/
75240000.0,3.0,CAR,83.6,,34.0,66.0,2020.0,1.0,1.0,3.9,2.0,https://www.cian.ru/sale/flat/300085962/
38042644.0,13.0,NWAR,85.4,35.7,21.0,25.0,2022.0,1.0,0.0,3.02,2.0,https://www.cian.ru/sale/flat/290752573/
14924263.0,10.0,WAR,49.8,,11.0,25.0,2021.0,1.0,0.0,2.63,2.0,https://www.cian.ru/sale/flat/300605458/
16360104.0,9.0,WAR,37.37,22.9,17.0,30.0,2023.0,1.0,0.0,3.3,2.0,https://www.cian.ru/sale/flat/299583575/
29709300.0,16.0,NWAR,59.3,,3.0,6.0,2023.0,1.0,1.0,3.24,2.0,https://www.cian.ru/sale/flat/299370743/
37770000.0,,WAR,67.2,24.8,10.0,14.0,2023.0,1.0,0.0,3.0,2.0,https://www.cian.ru/sale/flat/299262051/
22652545.0,2.0,EAR,56.5,35.6,1.0,20.0,2024.0,1.0,0.0,,2.0,https://www.cian.ru/sale/flat/297151029/
24161658.0,4.0,SAR,53.66,31.4,25.0,27.0,2023.0,1.0,0.0,2.87,2.0,https://www.cian.ru/sale/flat/292741936/
15579050.0,5.0,WAR,52.9,,3.0,25.0,2021.0,1.0,0.0,2.63,2.0,https://www.cian.ru/sale/flat/299508963/
55334473.0,12.0,NAR,72.1,,32.0,41.0,2023.0,1.0,0.0,3.1,2.0,https://www.cian.ru/sale/flat/297177676/
19795000.0,4.0,EAR,51.61,20.7,21.0,29.0,2023.0,1.0,0.0,3.0,2.0,https://www.cian.ru/sale/flat/299292598/
25293037.0,2.0,EAR,65.57,,3.0,20.0,2024.0,1.0,0.0,,2.0,https://www.cian.ru/sale/flat/297151038/
31999440.0,16.0,NWAR,52.7,29.8,15.0,24.0,2023.0,1.0,0.0,3.15,2.0,https://www.cian.ru/sale/flat/296517754/
26020054.0,22.0,SAR,45.33,23.2,8.0,29.0,2023.0,1.0,0.0,3.0,2.0,https://www.cian.ru/sale/flat/296831921/
44000000.0,13.0,NAR,59.0,15.5,12.0,12.0,2023.0,1.0,0.0,,2.0,https://www.cian.ru/sale/flat/290431235/
23990000.0,15.0,NWAR,48.1,25.3,5.0,30.0,2023.0,1.0,0.0,,2.0,https://www.cian.ru/sale/flat/292944249/
16355789.0,6.0,NAR,58.1,28.6,15.0,15.0,2023.0,1.0,0.0,2.84,2.0,https://www.cian.ru/sale/flat/300345249/
24610900.0,16.0,NWAR,52.7,,3.0,6.0,2023.0,1.0,1.0,3.24,2.0,https://www.cian.ru/sale/flat/299370735/
76167310.0,6.0,NWAR,85.7,36.6,3.0,9.0,2023.0,1.0,0.0,3.25,2.0,https://www.cian.ru/sale/flat/299261517/
39220000.0,27.0,WAR,68.8,29.8,9.0,13.0,2023.0,1.0,0.0,3.13,2.0,https://www.cian.ru/sale/flat/296278100/
